id,video_id,start_frame,end_frame,class,total_frames,fps
141,train0050,59,160,0,317,29.0
142,train0050,190,225,8,317,29.0
143,train0050,263,306,29,317,29.0
144,train0050,306,316,13,317,29.0
145,train0051,0,370,24,372,30.0
146,train0051,27,123,48,372,30.0
147,train0051,109,133,8,372,30.0
148,train0052,25,236,24,238,30.0
149,train0052,0,77,8,238,30.0
150,train0053,144,252,24,256,30.0
151,train0053,125,165,10,256,30.0
152,train0053,225,249,8,256,30.0
153,train0054,0,322,49,324,30.0
154,train0054,127,164,30,324,30.0
155,train0054,2,29,8,324,30.0
156,train0054,191,218,7,324,30.0
157,train0054,264,322,0,324,30.0
158,train0055,0,429,12,431,30.0
159,train0055,396,429,5,431,30.0
160,train0055,57,213,8,431,30.0
161,train0056,117,157,10,239,30.0
162,train0056,157,210,0,239,30.0
163,train0056,210,236,29,239,30.0
164,train0057,32,66,26,235,30.0
165,train0057,66,104,27,235,30.0
166,train0057,152,207,26,235,30.0
167,train0057,152,207,27,235,30.0
168,train0058,0,139,11,235,29.0
169,train0058,0,26,6,235,29.0
170,train0058,92,129,7,235,29.0
171,train0058,0,35,7,235,29.0
172,train0059,101,154,49,163,30.0
173,train0059,71,118,9,163,30.0
174,train0060,0,138,11,430,30.0
175,train0060,81,212,24,430,30.0
176,train0060,200,428,21,430,30.0
177,train0060,68,92,8,430,30.0
178,train0060,314,329,8,430,30.0
179,train0061,132,185,49,211,30.0
180,train0061,102,208,8,211,30.0
181,train0062,0,304,19,305,30.0
182,train0062,0,84,9,305,30.0
183,train0062,82,153,7,305,30.0
184,train0062,186,240,9,305,30.0
185,train0062,253,294,7,305,30.0
186,train0063,2,36,17,154,30.0
187,train0063,26,36,48,154,30.0
188,train0063,108,152,17,154,30.0
189,train0064,0,394,12,397,30.0
190,train0064,212,229,30,397,30.0
191,train0064,194,220,7,397,30.0
192,train0065,96,138,49,231,30.0
193,train0065,135,197,0,231,30.0
194,train0065,84,126,1,231,30.0
195,train0066,0,51,12,287,30.0
196,train0066,32,132,9,287,30.0
197,train0066,87,286,25,287,30.0
198,train0067,3,75,29,431,30.0
199,train0067,137,218,48,431,30.0
200,train0067,314,429,19,431,30.0
201,train0067,374,429,30,431,30.0
202,train0067,0,429,8,431,30.0
203,train0068,39,127,29,256,29.0
204,train0068,138,254,23,256,29.0
205,train0068,0,122,0,256,29.0
206,train0068,51,70,8,256,29.0
207,train0069,159,292,7,293,30.0
208,train0069,0,292,21,293,30.0
209,train0070,0,53,10,315,30.0
210,train0070,65,159,9,315,30.0
211,train0070,263,314,9,315,30.0
212,train0071,110,172,10,223,30.0
213,train0071,170,221,8,223,30.0
214,train0072,0,396,25,401,30.0
215,train0072,0,186,19,401,30.0
216,train0072,186,396,37,401,30.0
217,train0072,196,396,7,401,30.0
218,train0073,24,35,19,313,30.0
219,train0073,35,56,16,313,30.0
220,train0073,56,159,19,313,30.0
221,train0073,2,33,7,313,30.0
222,train0074,17,301,12,302,29.0
223,train0074,0,27,30,302,29.0
224,train0075,0,360,24,361,30.0
225,train0075,9,176,48,361,30.0
226,train0075,0,30,8,361,30.0
227,train0075,128,165,8,361,30.0
228,train0075,327,357,9,361,30.0
229,train0076,0,224,30,319,30.0
230,train0076,204,285,48,319,30.0
231,train0076,248,318,7,319,30.0
232,train0077,0,275,21,276,30.0
233,train0077,0,225,8,276,30.0
234,train0078,0,287,19,288,30.0
235,train0078,5,74,7,288,30.0
236,train0079,31,96,23,254,30.0
237,train0079,96,253,19,254,30.0
238,train0079,0,132,5,254,30.0
239,train0080,0,445,24,446,30.0
240,train0080,0,90,12,446,30.0
241,train0080,0,45,5,446,30.0
242,train0081,13,45,9,409,30.0
243,train0081,0,408,24,409,30.0
244,train0081,0,408,21,409,30.0
245,train0082,107,149,17,418,30.0
246,train0082,382,413,21,418,30.0
247,train0082,50,413,24,418,30.0
248,train0082,89,107,2,418,30.0
249,train0082,322,349,8,418,30.0
250,train0083,0,48,7,299,30.0
251,train0083,92,150,7,299,30.0
252,train0084,0,231,24,233,30.0
253,train0084,0,34,7,233,30.0
254,train0085,59,96,19,154,30.0
255,train0085,65,116,7,154,30.0
256,train0086,72,108,9,151,30.0
257,train0086,108,147,1,151,30.0
258,train0087,0,429,24,434,30.0
259,train0087,113,228,19,434,30.0
260,train0087,101,122,10,434,30.0
261,train0088,4,93,19,244,29.0
262,train0088,38,240,7,244,29.0
263,train0089,0,366,49,373,30.0
264,train0089,81,222,30,373,30.0
265,train0089,171,200,1,373,30.0
266,train0089,279,315,7,373,30.0
267,train0090,0,363,12,368,30.0
268,train0090,146,219,10,368,30.0
269,train0091,12,96,32,433,30.0
270,train0091,0,29,8,433,30.0
271,train0091,86,108,8,433,30.0
272,train0091,108,429,21,433,30.0
273,train0091,266,335,9,433,30.0
274,train0091,375,398,10,433,30.0
275,train0092,0,320,28,321,30.0
276,train0092,0,195,13,321,30.0
277,train0092,195,318,49,321,30.0
278,train0092,120,158,9,321,30.0
279,train0092,287,320,9,321,30.0
280,train0093,5,361,19,389,30.0
281,train0093,0,197,8,389,30.0
282,train0094,115,241,31,300,30.0
283,train0094,254,299,24,300,30.0
284,train0094,145,286,8,300,30.0
285,train0095,15,61,21,153,30.0
286,train0095,15,61,19,153,30.0
287,train0096,0,62,29,288,30.0
288,train0096,56,146,7,288,30.0
289,train0096,198,287,0,288,30.0
290,train0097,1,373,19,374,30.0
291,train0097,0,36,7,374,30.0
292,train0097,30,120,9,374,30.0
293,train0097,118,189,7,374,30.0
294,train0097,222,276,9,374,30.0
295,train0097,289,330,7,374,30.0
296,train0098,0,399,25,400,30.0
297,train0098,161,216,8,400,30.0
298,train0098,215,269,9,400,30.0
299,train0099,0,33,26,151,30.0
300,train0099,33,71,28,151,30.0
301,train0100,271,390,27,391,30.0
302,train0100,261,377,7,391,30.0
303,train0101,0,304,21,306,30.0
304,train0101,0,304,24,306,30.0
305,train0101,228,304,8,306,30.0
306,train0102,0,239,9,241,30.0
307,train0102,0,239,10,241,30.0
308,train0103,0,289,49,291,30.0
309,train0103,13,68,7,291,30.0
310,train0104,151,168,9,308,29.0
311,train0104,0,307,21,308,29.0
312,train0105,0,344,21,346,30.0
313,train0105,170,227,5,346,30.0
314,train0105,227,282,6,346,30.0
315,train0106,94,149,49,151,30.0
316,train0106,77,104,9,151,30.0
317,train0107,0,365,25,367,30.0
318,train0107,0,248,21,367,30.0
319,train0107,248,365,50,367,30.0
320,train0107,308,365,8,367,30.0
321,train0108,0,405,25,406,30.0
322,train0108,0,405,19,406,30.0
323,train0108,95,405,9,406,30.0
324,train0109,0,381,25,385,30.0
325,train0109,150,285,0,385,30.0
326,train0110,0,299,21,300,30.0
327,train0110,1,54,9,300,30.0
328,train0110,183,198,9,300,30.0
329,train0111,79,175,28,430,30.0
330,train0111,184,236,43,430,30.0
331,train0111,266,343,29,430,30.0
332,train0111,321,335,19,430,30.0
333,train0112,78,124,1,147,29.0
334,train0112,124,145,26,147,29.0
335,train0113,0,68,6,250,30.0
336,train0113,56,248,19,250,30.0
337,train0114,31,138,21,433,30.0
338,train0114,138,217,19,433,30.0
339,train0114,217,431,21,433,30.0
340,train0114,1,130,8,433,30.0
341,train0114,272,325,8,433,30.0
342,train0115,0,390,21,395,29.0
343,train0115,145,200,10,395,29.0
344,train0116,68,99,5,262,30.0
345,train0116,99,230,42,262,30.0
346,train0117,40,144,34,205,29.0
347,train0117,40,107,8,205,29.0
348,train0118,76,126,25,221,30.0
349,train0118,126,172,0,221,30.0
350,train0118,11,128,8,221,30.0
351,train0119,0,303,21,305,30.0
352,train0119,261,303,9,305,30.0
353,train0120,1,341,11,342,30.0
354,train0120,144,172,10,342,30.0
355,train0121,2,110,24,380,30.0
356,train0121,193,293,10,380,30.0
357,train0121,323,379,7,380,30.0
358,train0121,0,379,49,380,30.0
359,train0122,11,174,29,339,30.0
360,train0122,96,182,8,339,30.0
361,train0123,0,120,12,323,29.0
362,train0123,135,151,48,323,29.0
363,train0123,247,281,49,323,29.0
364,train0123,289,303,48,323,29.0
365,train0123,94,118,7,323,29.0
366,train0124,38,80,10,190,30.0
367,train0124,75,135,11,190,30.0
368,train0125,0,390,19,392,30.0
369,train0125,0,146,8,392,30.0
370,train0125,194,391,9,392,30.0
371,train0126,0,377,24,378,30.0
372,train0126,0,83,9,378,30.0
373,train0126,110,212,8,378,30.0
374,train0126,237,365,8,378,30.0
375,train0127,9,240,49,245,30.0
376,train0127,119,131,8,245,30.0
377,train0128,183,308,24,310,30.0
378,train0128,0,18,19,310,30.0
379,train0128,18,111,2,310,30.0
380,train0128,261,308,19,310,30.0
381,train0128,119,156,2,310,30.0
382,train0128,172,279,7,310,30.0
383,train0129,16,43,19,241,29.0
384,train0129,58,239,11,241,29.0
385,train0129,0,75,10,241,29.0
386,train0129,103,147,7,241,29.0
387,train0130,192,239,17,320,30.0
388,train0130,150,315,24,320,30.0
389,train0130,186,200,5,320,30.0
390,train0131,0,398,21,400,30.0
391,train0131,27,378,24,400,30.0
392,train0131,72,90,8,400,30.0
393,train0132,0,384,8,386,30.0
394,train0132,191,384,4,386,30.0
395,train0132,0,384,50,386,30.0
396,train0133,43,63,30,146,29.0
397,train0133,63,83,17,146,29.0
398,train0133,82,109,18,146,29.0
399,train0134,97,197,8,199,29.0
400,train0134,97,197,28,199,29.0
401,train0135,14,53,3,197,30.0
402,train0135,1,38,17,197,30.0
403,train0135,42,100,19,197,30.0
404,train0136,0,230,12,231,30.0
405,train0136,141,230,8,231,30.0
406,train0137,0,135,11,291,29.0
407,train0137,154,170,41,291,29.0
408,train0137,219,290,11,291,29.0
409,train0137,0,23,8,291,29.0
410,train0138,0,26,8,234,30.0
411,train0138,0,131,5,234,30.0
412,train0138,122,232,22,234,30.0
413,train0138,0,232,31,234,30.0
414,train0139,0,87,24,249,30.0
415,train0139,66,125,9,249,30.0
416,train0140,87,109,49,178,30.0
417,train0140,99,176,10,178,30.0
418,train0141,0,399,24,400,30.0
419,train0141,355,399,7,400,30.0
420,train0142,18,56,48,304,30.0
421,train0142,146,203,19,304,30.0
422,train0142,222,270,19,304,30.0
423,train0142,45,147,9,304,30.0
424,train0142,195,288,8,304,30.0
425,train0143,0,41,49,259,30.0
426,train0143,41,85,29,259,30.0
427,train0143,41,85,48,259,30.0
428,train0143,0,258,9,259,30.0
429,train0144,0,166,24,341,30.0
430,train0144,0,340,21,341,30.0
431,train0144,22,61,8,341,30.0
432,train0145,0,206,0,406,29.0
433,train0145,2,51,8,406,29.0
434,train0145,146,245,21,406,29.0
435,train0146,62,246,28,397,30.0
436,train0146,166,321,6,397,30.0
437,train0146,72,163,5,397,30.0
438,train0146,36,80,48,397,30.0
439,train0146,136,279,50,397,30.0
440,train0146,21,53,27,397,30.0
441,train0146,51,116,26,397,30.0
442,train0146,111,186,27,397,30.0
443,train0147,62,245,49,292,30.0
444,train0147,45,72,10,292,30.0
445,train0147,114,171,2,292,30.0
446,train0148,8,334,24,389,29.0
447,train0148,320,385,8,389,29.0
448,train0149,0,336,20,337,30.0
449,train0149,232,336,6,337,30.0
450,train0150,62,111,49,151,30.0
451,train0150,51,99,2,151,30.0
452,train0151,152,293,49,330,30.0
453,train0151,194,227,30,330,30.0
454,train0151,165,317,2,330,30.0
455,train0152,0,84,8,229,30.0
456,train0152,145,228,8,229,30.0
457,train0153,0,377,24,378,30.0
458,train0153,347,377,17,378,30.0
459,train0154,155,197,9,361,30.0
460,train0154,275,359,8,361,30.0
461,train0154,0,210,12,361,30.0
462,train0154,237,335,12,361,30.0
463,train0154,335,359,19,361,30.0
464,train0154,38,114,30,361,30.0
465,train0155,0,42,30,296,30.0
466,train0155,42,295,24,296,30.0
467,train0155,223,253,8,296,30.0
468,train0156,239,341,7,343,30.0
469,train0156,0,342,50,343,30.0
470,train0156,0,342,25,343,30.0
471,train0157,125,243,30,304,30.0
472,train0157,105,258,4,304,30.0
473,train0158,0,438,49,439,30.0
474,train0158,90,149,1,439,30.0
475,train0159,0,390,21,391,30.0
476,train0159,0,390,24,391,30.0
477,train0159,71,86,8,391,30.0
478,train0159,319,350,10,391,30.0
479,train0160,0,341,19,342,30.0
480,train0160,12,53,7,342,30.0
481,train0161,93,131,5,346,30.0
482,train0161,107,199,19,346,30.0
483,train0161,271,322,9,346,30.0
484,train0162,0,299,21,300,30.0
485,train0162,132,161,30,300,30.0
486,train0162,239,282,20,300,30.0
487,train0162,272,299,8,300,30.0
488,train0163,31,272,21,370,29.0
489,train0163,0,369,7,370,29.0
490,train0164,72,110,10,146,29.0
491,train0164,110,145,30,146,29.0
492,train0165,0,81,8,426,30.0
493,train0165,80,371,19,426,30.0
494,train0165,286,309,5,426,30.0
495,train0166,0,318,21,396,30.0
496,train0166,288,351,8,396,30.0
497,train0166,318,339,49,396,30.0
498,train0167,0,339,49,340,30.0
499,train0167,2,119,8,340,30.0
500,train0167,117,173,9,340,30.0
501,train0167,305,339,8,340,30.0
502,train0168,0,228,19,409,30.0
503,train0168,261,407,49,409,30.0
504,train0168,201,308,9,409,30.0
505,train0169,0,235,21,236,30.0
506,train0169,18,235,24,236,30.0
507,train0169,0,15,8,236,30.0
508,train0169,13,52,9,236,30.0
509,train0169,138,235,8,236,30.0
510,train0170,57,270,29,439,30.0
511,train0170,45,153,49,439,30.0
512,train0170,264,437,21,439,30.0
513,train0170,128,176,7,439,30.0
514,train0170,344,437,0,439,30.0
515,train0171,0,69,49,167,30.0
516,train0171,54,83,8,167,30.0
517,train0172,21,63,25,247,30.0
518,train0172,156,246,8,247,30.0
519,train0173,0,150,9,420,30.0
520,train0173,326,373,9,420,30.0
521,train0173,371,418,10,420,30.0
522,train0174,13,220,49,235,30.0
523,train0174,194,233,30,235,30.0
524,train0174,0,16,8,235,30.0
525,train0175,0,45,0,413,29.0
526,train0175,0,119,21,413,29.0
527,train0175,160,263,11,413,29.0
528,train0175,205,314,9,413,29.0
529,train0176,83,171,19,176,30.0
530,train0176,103,122,7,176,30.0
531,train0177,49,302,49,414,30.0
532,train0177,59,118,2,414,30.0
533,train0177,124,158,8,414,30.0
534,train0177,265,311,2,414,30.0
535,train0177,283,296,8,414,30.0
536,train0178,0,143,11,354,30.0
537,train0178,6,353,8,354,30.0
538,train0179,12,36,5,189,30.0
539,train0179,36,68,6,189,30.0
540,train0179,0,56,43,189,30.0
541,train0179,65,95,49,189,30.0
542,train0180,0,134,19,325,29.0
543,train0180,133,323,32,325,29.0
544,train0181,66,291,24,296,30.0
545,train0181,9,69,30,296,30.0
546,train0181,21,48,48,296,30.0
547,train0181,138,162,48,296,30.0
548,train0181,188,210,20,296,30.0
549,train0181,146,168,10,296,30.0
550,train0182,0,62,19,358,30.0
551,train0182,81,180,30,358,30.0
552,train0182,309,356,49,358,30.0
553,train0182,0,218,8,358,30.0
554,train0182,218,348,9,358,30.0
555,train0183,2,56,48,304,30.0
556,train0183,50,256,49,304,30.0
557,train0183,238,287,19,304,30.0
558,train0183,132,156,10,304,30.0
559,train0184,91,130,9,192,30.0
560,train0184,119,187,49,192,30.0
561,train0185,0,68,21,377,30.0
562,train0185,68,258,29,377,30.0
563,train0185,243,375,1,377,30.0
564,train0186,78,262,8,263,30.0
565,train0186,0,12,12,263,30.0
566,train0186,39,138,12,263,30.0
567,train0186,138,262,19,263,30.0
568,train0187,0,43,12,318,30.0
569,train0187,43,79,34,318,30.0
570,train0187,84,159,12,318,30.0
571,train0187,192,317,22,318,30.0
572,train0187,180,317,24,318,30.0
573,train0188,0,375,25,379,30.0
574,train0188,117,179,11,379,30.0
575,train0188,54,87,9,379,30.0
576,train0189,0,325,12,329,29.0
577,train0189,0,325,24,329,29.0
578,train0190,0,318,49,319,30.0
579,train0190,38,107,10,319,30.0
580,train0191,0,51,7,215,30.0
581,train0191,45,108,49,215,30.0
582,train0191,72,84,30,215,30.0
583,train0192,0,108,10,340,30.0
584,train0192,108,339,9,340,30.0
585,train0193,0,437,21,439,30.0
586,train0193,0,133,8,439,30.0
587,train0194,118,176,19,219,30.0
588,train0194,65,149,8,219,30.0
589,train0195,122,140,44,146,29.0
590,train0195,98,127,8,146,29.0
591,train0196,2,71,8,283,30.0
592,train0196,68,144,7,283,30.0
593,train0196,185,282,8,283,30.0
594,train0197,72,166,19,249,30.0
595,train0197,187,244,24,249,30.0
596,train0198,50,269,49,325,30.0
597,train0198,147,281,2,325,30.0
598,train0199,0,95,30,287,30.0
599,train0199,0,286,49,287,30.0
600,train0199,100,222,7,287,30.0
601,train0200,0,54,8,232,30.0
602,train0200,18,231,23,232,30.0
603,train0201,93,146,30,148,29.0
604,train0201,76,102,8,148,29.0
605,train0202,95,120,5,149,29.0
606,train0202,120,146,30,149,29.0
607,train0203,0,317,29,319,30.0
608,train0203,281,317,8,319,30.0
609,train0204,0,310,11,312,30.0
610,train0204,0,310,24,312,30.0
611,train0204,105,128,8,312,30.0
612,train0204,143,159,5,312,30.0
613,train0205,0,51,48,147,29.0
614,train0205,0,28,30,147,29.0
615,train0206,0,21,27,350,30.0
616,train0206,0,21,48,350,30.0
617,train0206,20,69,7,350,30.0
618,train0206,36,174,49,350,30.0
619,train0206,178,288,49,350,30.0
620,train0206,288,332,13,350,30.0
621,train0206,332,348,21,350,30.0
622,train0207,0,266,29,336,30.0
623,train0207,93,334,4,336,30.0
624,train0208,0,86,8,436,30.0
625,train0208,384,434,8,436,30.0
626,train0208,0,182,17,436,30.0
627,train0208,303,404,17,436,30.0
628,train0208,0,434,24,436,30.0
629,train0209,0,304,49,306,30.0
630,train0209,149,223,30,306,30.0
631,train0209,0,14,7,306,30.0
632,train0209,60,301,0,306,30.0
633,train0210,0,287,21,289,30.0
634,train0210,0,100,9,289,30.0
635,train0211,0,113,49,225,30.0
636,train0211,14,50,2,225,30.0
637,train0212,0,96,42,204,30.0
638,train0212,80,102,10,204,30.0
639,train0213,2,128,8,433,30.0
640,train0213,395,432,32,433,30.0
641,train0213,0,432,21,433,30.0
642,train0214,66,165,8,280,30.0
643,train0214,165,212,9,280,30.0
644,train0215,101,174,10,443,30.0
645,train0215,311,396,8,443,30.0
646,train0215,396,420,10,443,30.0
647,train0216,0,139,31,198,29.0
648,train0216,0,197,12,198,29.0
649,train0216,100,129,8,198,29.0
650,train0217,0,427,21,429,30.0
651,train0217,131,174,29,429,30.0
652,train0217,80,125,8,429,30.0
653,train0217,345,366,7,429,30.0
654,train0217,357,377,30,429,30.0
655,train0218,212,310,19,311,30.0
656,train0218,2,208,1,311,30.0
657,train0218,2,118,8,311,30.0
658,train0218,158,310,8,311,30.0
659,train0219,91,134,7,147,29.0
660,train0219,121,143,30,147,29.0
661,train0220,0,105,8,394,30.0
662,train0220,0,87,10,394,30.0
663,train0220,0,87,8,394,30.0
664,train0220,87,392,23,394,30.0
665,train0221,0,22,9,334,29.0
666,train0221,0,332,21,334,29.0
667,train0222,80,143,10,164,30.0
668,train0222,125,162,9,164,30.0
669,train0223,0,78,24,348,30.0
670,train0223,201,332,26,348,30.0
671,train0223,0,26,11,348,30.0
672,train0223,84,176,37,348,30.0
673,train0224,0,167,12,340,30.0
674,train0224,269,339,28,340,30.0
675,train0224,111,166,7,340,30.0
676,train0224,170,285,7,340,30.0
677,train0225,77,125,5,219,30.0
678,train0225,123,194,6,219,30.0
679,train0226,2,53,7,317,30.0
680,train0226,66,161,5,317,30.0
681,train0226,0,69,11,317,30.0
682,train0227,0,297,24,298,30.0
683,train0227,269,297,8,298,30.0
684,train0228,22,190,48,274,30.0
685,train0228,109,164,9,274,30.0
686,train0229,0,63,48,313,30.0
687,train0229,124,312,8,313,30.0
688,train0229,29,312,49,313,30.0
689,train0230,131,171,29,401,29.0
690,train0230,0,396,21,401,29.0
691,train0230,344,383,30,401,29.0
692,train0231,142,217,0,351,29.0
693,train0231,208,338,50,351,29.0
694,train0232,0,346,24,347,30.0
695,train0232,2,38,9,347,30.0
696,train0233,135,200,8,250,29.0
697,train0233,38,175,11,250,29.0
698,train0234,0,18,24,353,30.0
699,train0234,0,110,17,353,30.0
700,train0234,102,176,20,353,30.0
701,train0234,258,351,10,353,30.0
702,train0235,78,98,5,153,30.0
703,train0235,90,149,19,153,30.0
704,train0236,0,218,21,432,30.0
705,train0236,74,431,0,432,30.0
706,train0236,275,377,7,432,30.0
707,train0237,38,57,9,451,30.0
708,train0237,264,297,9,451,30.0
709,train0237,432,449,9,451,30.0
710,train0237,45,272,7,451,30.0
711,train0237,0,102,21,451,30.0
712,train0237,143,449,11,451,30.0
713,train0238,26,112,24,401,30.0
714,train0238,1,26,17,401,30.0
715,train0238,98,400,12,401,30.0
716,train0238,202,233,8,401,30.0
717,train0239,0,257,19,258,29.0
718,train0239,0,16,5,258,29.0
719,train0239,16,35,6,258,29.0
720,train0240,0,30,8,323,30.0
721,train0240,0,138,22,323,30.0
722,train0240,122,162,29,323,30.0
723,train0241,0,152,8,398,29.0
724,train0241,195,272,9,398,29.0
725,train0241,0,207,10,398,29.0
726,train0241,0,396,24,398,29.0
727,train0242,9,213,49,223,30.0
728,train0242,41,92,29,223,30.0
729,train0242,170,201,30,223,30.0
730,train0243,2,152,19,184,30.0
731,train0243,27,111,8,184,30.0
732,train0244,5,135,8,263,30.0
733,train0244,0,30,19,263,30.0
734,train0244,78,261,15,263,30.0
735,train0244,111,261,24,263,30.0
736,train0245,63,149,8,181,30.0
737,train0245,33,116,49,181,30.0
738,train0246,0,49,13,166,30.0
739,train0246,0,34,7,166,30.0
740,train0246,34,83,4,166,30.0
741,train0246,134,164,8,166,30.0
742,train0247,0,43,10,396,30.0
743,train0247,130,195,10,396,30.0
744,train0247,245,305,9,396,30.0
745,train0247,291,393,38,396,30.0
746,train0248,34,218,24,437,30.0
747,train0248,0,38,30,437,30.0
748,train0248,302,349,29,437,30.0
749,train0248,343,388,30,437,30.0
750,train0248,82,101,48,437,30.0
751,train0248,116,140,17,437,30.0
752,train0248,203,335,19,437,30.0
753,train0248,332,364,12,437,30.0
754,train0248,382,436,49,437,30.0
755,train0248,83,113,5,437,30.0
756,train0249,0,78,50,446,30.0
757,train0249,117,300,44,446,30.0
758,train0249,59,224,7,446,30.0
759,train0250,0,60,23,376,30.0
760,train0250,144,375,32,376,30.0
761,train0250,0,375,24,376,30.0
762,train0251,63,102,23,152,30.0
763,train0251,59,81,7,152,30.0
764,train0252,14,62,5,363,30.0
765,train0252,26,197,20,363,30.0
766,train0252,0,197,25,363,30.0
767,train0252,254,348,19,363,30.0
768,train0253,0,51,9,335,29.0
769,train0253,92,142,10,335,29.0
770,train0253,257,294,9,335,29.0
771,train0253,0,166,21,335,29.0
772,train0253,161,333,23,335,29.0
773,train0254,0,300,25,302,30.0
